"scope","scope_id","path"
"default","0","weltpixel_googletagmanager/adwords_remarketing/enable"
"default","0","weltpixel_googletagmanager/api/account_id"
"default","0","weltpixel_googletagmanager/api/container_id"
"default","0","weltpixel_googletagmanager/api/display_advertising"
"default","0","weltpixel_googletagmanager/api/ip_anonymization"
"default","0","weltpixel_googletagmanager/api/ua_tracking_id"
"default","0","weltpixel_googletagmanager/general/brand_attribute"
"default","0","weltpixel_googletagmanager/general/custom_dimension_customergroup"
"default","0","weltpixel_googletagmanager/general/custom_dimension_customergroup_indexnumber"
"default","0","weltpixel_googletagmanager/general/custom_dimension_customerid"
"default","0","weltpixel_googletagmanager/general/custom_dimension_customerid_indexnumber"
"default","0","weltpixel_googletagmanager/general/custom_dimension_pagename"
"default","0","weltpixel_googletagmanager/general/custom_dimension_pagetype"
"default","0","weltpixel_googletagmanager/general/custom_dimension_pagetype_indexnumber"
"default","0","weltpixel_googletagmanager/general/enable"
"default","0","weltpixel_googletagmanager/general/enable_brand"
"default","0","weltpixel_googletagmanager/general/enable_variant"
"default","0","weltpixel_googletagmanager/general/exclude_free_purchase"
"default","0","weltpixel_googletagmanager/general/exclude_shipping_from_transaction"
"default","0","weltpixel_googletagmanager/general/exclude_tax_from_transaction"
"default","0","weltpixel_googletagmanager/general/gtm_code"
"default","0","weltpixel_googletagmanager/general/gtm_nonjs_code"
"default","0","weltpixel_googletagmanager/general/id_selection"
"default","0","weltpixel_googletagmanager/general/impression_chunk_size"
"default","0","weltpixel_googletagmanager/general/order_total_calculation"
"default","0","weltpixel_googletagmanager/general/parent_vs_child"
"default","0","weltpixel_googletagmanager/general/persistentlayer_expiry"
"default","0","weltpixel_googletagmanager/general/product_click_tracking"
"default","0","weltpixel_googletagmanager/general/promotion_tracking"
"default","0","weltpixel_googletagmanager/general/secure_cookies"
"default","0","weltpixel_googletagmanager/general/success_page_paths"
"default","0","weltpixel_googletagmanager/general/track_custom_attribute_1"
"default","0","weltpixel_googletagmanager/general/track_custom_attribute_2"
"default","0","weltpixel_googletagmanager/general/track_custom_attribute_3"
"default","0","weltpixel_googletagmanager/general/track_custom_attribute_4"
"default","0","weltpixel_googletagmanager/general/track_custom_attribute_5"
"default","0","weltpixel_googletagmanager/general/track_reviewscount"
"default","0","weltpixel_googletagmanager/general/track_reviewscount_indexnumber"
